Frequency (Hz)	Level (dB)
9431.542969	-62.182381
9442.309570	-58.278645
9453.076172	-59.193733
9463.842773	-55.717648
9474.609375	-63.267666
9485.375977	-56.832481
9496.142578	-51.884064
9506.909180	-54.006184
9517.675781	-54.656624
9528.442383	-49.932838
9539.208984	-49.999367
9549.975586	-50.579353
9560.742188	-46.387104
9571.508789	-47.141556
9582.275391	-50.129490
9593.041992	-53.058315
9603.808594	-56.544094
9614.575195	-49.766197
9625.341797	-46.536541
9636.108398	-50.861767
9646.875000	-61.829170
9657.641602	-52.995502
9668.408203	-51.879398
9679.174805	-50.336773
9689.941406	-44.072933
9700.708008	-41.670376
9711.474609	-45.249157
9722.241211	-57.180138
9733.007812	-56.277798
9743.774414	-51.348511
9754.541016	-50.342575
9765.307617	-47.973473
9776.074219	-52.660862
9786.840820	-55.086582
9797.607422	-51.134541
9808.374023	-62.667114
9819.140625	-51.867172
9829.907227	-44.871311
9840.673828	-42.027054
9851.440430	-43.652458
9862.207031	-49.355907
9872.973633	-53.002140
9883.740234	-52.570858
9894.506836	-52.445732
9905.273438	-55.612938
9916.040039	-65.782417
9926.806641	-58.494564
9937.573242	-55.635578
9948.339844	-51.323437
9959.106445	-47.138565
9969.873047	-45.437290
9980.639648	-46.866497
9991.406250	-48.712097
10002.172852	-67.310143
10012.939453	-49.172493
10023.706055	-50.226128
10034.472656	-53.808437
10045.239258	-67.075500
10056.005859	-64.090492
10066.772461	-58.965763
10077.539062	-58.089790
10088.305664	-58.199200
10099.072266	-54.711876
10109.838867	-50.218155
10120.605469	-48.362362
10131.372070	-49.518566
10142.138672	-48.405346
10152.905273	-51.204281
10163.671875	-62.731178
10174.438477	-57.516495
10185.205078	-56.622681
10195.971680	-57.569042
10206.738281	-62.975647
10217.504883	-61.432537
10228.271484	-55.309708
10239.038086	-53.817837
10249.804688	-62.244720
10260.571289	-58.615566
10271.337891	-57.929165
10282.104492	-57.534840
10292.871094	-52.635948
10303.637695	-51.688301
10314.404297	-56.673237
10325.170898	-64.885918
10335.937500	-59.606945
10346.704102	-67.201363
10357.470703	-55.827808
10368.237305	-51.782200
10379.003906	-48.652420
10389.770508	-48.585320
10400.537109	-50.247173
10411.303711	-51.599148
10422.070312	-52.204441
10432.836914	-51.717552
10443.603516	-55.617775
10454.370117	-57.991028
10465.136719	-48.519852
10475.903320	-45.113201
10486.669922	-48.012707
10497.436523	-51.927322
10508.203125	-53.826199
10518.969727	-54.440895
10529.736328	-48.960587
10540.502930	-48.192654
10551.269531	-50.523586
10562.036133	-51.787727
10572.802734	-51.602859
10583.569336	-52.527695
10594.335938	-50.940250
10605.102539	-51.367367
10615.869141	-53.332493
10626.635742	-52.912895
10637.402344	-59.880344
10648.168945	-53.697773
10658.935547	-51.590248
10669.702148	-53.024540
10680.468750	-52.563663
10691.235352	-51.216572
10702.001953	-49.938816
10712.768555	-51.083218
10723.535156	-55.353600
10734.301758	-62.450321
10745.068359	-53.518024
10755.834961	-47.599590
10766.601562	-46.830593
10777.368164	-50.136070
10788.134766	-52.486469
10798.901367	-50.051502
10809.667969	-53.593346
10820.434570	-63.904137
10831.201172	-53.561615
10841.967773	-52.445210
10852.734375	-66.096085
10863.500977	-53.350548
10874.267578	-52.192116
10885.034180	-58.227734
10895.800781	-64.981140
10906.567383	-58.473080
10917.333984	-57.031384
10928.100586	-52.441422
10938.867188	-49.638451
10949.633789	-50.321728
10960.400391	-47.649525
10971.166992	-49.519100
10981.933594	-53.587669
10992.700195	-57.506824
11003.466797	-57.770206
11014.233398	-55.339931
11025.000000	-51.888306
11035.766602	-51.488476
11046.533203	-56.708595
11057.299805	-61.141209
11068.066406	-64.735962
11078.833008	-65.421722
11089.599609	-56.939659
11100.366211	-50.093945
11111.132812	-48.053665
11121.899414	-50.039696
11132.666016	-56.849846
11143.432617	-63.331303
11154.199219	-56.974972
11164.965820	-64.475426
11175.732422	-62.266731
11186.499023	-59.604622
11197.265625	-63.074131
11208.032227	-55.716152
11218.798828	-56.349972
11229.565430	-54.427734
11240.332031	-53.405735
11251.098633	-56.066490
11261.865234	-58.784618
11272.631836	-60.267998
11283.398438	-51.915310
11294.165039	-49.194489
11304.931641	-50.730434
11315.698242	-53.127586
11326.464844	-51.815704
11337.231445	-53.736916
11347.998047	-87.528931
11358.764648	-54.217625
11369.531250	-51.074612
11380.297852	-51.098366
11391.064453	-51.971214
11401.831055	-53.299488
11412.597656	-53.269855
11423.364258	-53.259724
11434.130859	-55.485527
11444.897461	-56.194679
11455.664062	-55.271862
11466.430664	-56.677734
11477.197266	-56.289471
11487.963867	-58.142742
11498.730469	-64.098381
11509.497070	-54.663342
11520.263672	-50.839695
11531.030273	-50.613056
11541.796875	-51.610065
11552.563477	-51.192902
11563.330078	-49.173653
11574.096680	-51.629547
11584.863281	-68.540443
11595.629883	-57.077663
11606.396484	-55.899639
11617.163086	-56.125565
11627.929688	-55.016251
11638.696289	-52.004345
11649.462891	-51.229755
11660.229492	-55.186237
11670.996094	-65.945953
11681.762695	-66.944687
11692.529297	-58.798134
11703.295898	-58.557014
11714.062500	-56.632027
11724.829102	-54.109573
11735.595703	-59.338947
11746.362305	-57.368629
11757.128906	-55.641335
11767.895508	-60.755627
11778.662109	-77.945160
11789.428711	-64.248070
11800.195312	-62.514065
11810.961914	-66.800270
11821.728516	-59.791725
11832.495117	-55.517380
11843.261719	-53.420876
11854.028320	-52.415359
11864.794922	-51.027252
